Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Mander (1999),PC,5MSC_SC,SD",Prestressed Concrete,PGA,Five,Continuous,General,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.946793668,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),C,5MSC_SC,NSD_nonCalifonia",Concrete,PGA,Five,Continuous,General,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),PC,5MSC_SC,NSD_nonCalifonia",Prestressed Concrete,PGA,Five,Continuous,General,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),C,5MSC_SC,NSD_Califonia",Concrete,PGA,Five,Continuous,General,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),PC,5MSC_SC,NSD_Califonia",Prestressed Concrete,PGA,Five,Continuous,General,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),C,5MSC_MC,SD",Concrete,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.946793668,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),PC,5MSC_MC,SD",Prestressed Concrete,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.946793668,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),C,5MSC_MC,NSD_nonCalifonia",Concrete,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),PC,5MSC_MC,NSD_nonCalifonia",Prestressed Concrete,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),C,5MSC_MC,NSD_Califonia",Concrete,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),PC,5MSC_MC,NSD_Califonia",Prestressed Concrete,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.821941756,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),St,5MSC_SC,SD",Steel,PGA,Five,Continuous,General,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.946793668,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),St,5MSC_SC,NSD_nonCalifonia",Steel,PGA,Five,Continuous,General,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.764735248,0.6,0.764735248,0.6,1.046479813,0.6
"Mander (1999),St,5MSC_SC,NSD_Califonia",Steel,PGA,Five,Continuous,General,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.790728778,0.6,0.790728778,0.6,1.082049906,0.6
"Mander (1999),St,5MSC_MC,SD",Steel,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.946793668,0.6,1.092454232,0.6,1.435796991,0.6
"Mander (1999),St,5MSC_MC,NSD_nonCalifonia",Steel,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.764735248,0.6,0.764735248,0.6,1.046479813,0.6
"Mander (1999),St,5MSC_MC,NSD_Califonia",Steel,PGA,Five,Continuous,General,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.790728778,0.6,0.790728778,0.6,1.082049906,0.6
"Mander (1999),C,2MSSS_MC,SD,Skewed=30",Concrete,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.790740376,0.6,1.092470256,0.6,1.59188523,0.6
"Mander (1999),St,2MSSS_MC,SD,Skewed=30",Steel,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.790740376,0.6,1.092470256,0.6,1.59188523,0.6
"Mander (1999),PC,2MSSS_MC,SD,Skewed=30",Prestressed Concrete,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.790740376,0.6,1.092470256,0.6,1.59188523,0.6
"Mander (1999),C,2MSSS_MC,NSD_nonCalifornia,Skewed=30",Concrete,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.364156752,0.6,0.45779706,0.6,0.676291111,0.6
"Mander (1999),St,2MSSS_MC,NSD_nonCalifornia,Skewed=30",Steel,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.340052999,0.6,0.427495199,0.6,0.631526998,0.6
"Mander (1999),PC,2MSSS_MC,NSD_nonCalifornia,Skewed=30",Prestressed Concrete,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.364156752,0.6,0.45779706,0.6,0.676291111,0.6
"Mander (1999),C,2MSSS_MC,NSD_California,Skewed=30",Concrete,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.478606017,0.6,0.582650803,0.6,0.863571726,0.6
"Mander (1999),St,2MSSS_MC,NSD_California,Skewed=30",Steel,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.478606017,0.6,0.582650803,0.6,0.863571726,0.6
"Mander (1999),PC,2MSSS_MC,NSD_California,Skewed=30",Prestressed Concrete,PGA,Two,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.478606017,0.6,0.582650803,0.6,0.863571726,0.6
"Mander (1999),C,2MSSS_SC,SD,Skewed=30",Concrete,PGA,Two,Simply Supported,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.54,0.6,0.915594119,0.6,1.269346392,0.6,1.508649401,0.6
"Mander (1999),PC,2MSSS_SC,SD,Skewed=30",Prestressed Concrete,PGA,Two,Simply Supported,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.54,0.6,0.915594119,0.6,1.269346392,0.6,1.508649401,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia,Skewed=30",Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.35,0.6,0.450754869,0.6,0.536612939,0.6,0.79418715,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.35,0.6,0.450754869,0.6,0.536612939,0.6,0.79418715,0.6
"Mander (1999),C,2MSC_SC,SD,Skewed=30",Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.97663555,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),PC,2MSC_SC,SD,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.97663555,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),C,2MSC_SC,NSD_nonCalifonia,Skewed=30",Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),PC,2MSC_SC,NSD_nonCalifonia,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia,Skewed=30",Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),C,2MSC_MC,SD,Skewed=30",Concrete,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.97663555,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),PC,2MSC_MC,SD,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.97663555,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),C,2MSC_MC,NSD_nonCalifonia,Skewed=30",Concrete,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),PC,2MSC_MC,NSD_nonCalifonia,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),C,2MSC_MC,NSD_Califonia,Skewed=30",Concrete,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),PC,2MSC_MC,NSD_Califonia,Skewed=30",Prestressed Concrete,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.847848444,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),St,2MSC_SC,SD,Skewed=30",Steel,PGA,Two,Continuous,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.97663555,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),St,2MSC_SC,NSD_nonCalifonia,Skewed=30",Steel,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.724725525,0.6,0.724725525,0.6,0.724725525,0.6,0.991729666,0.6
"Mander (1999),St,2MSC_SC,NSD_Califonia,Skewed=30",Steel,PGA,Two,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.815651668,0.6,0.815651668,0.6,1.116154914,0.6
"Mander (1999),St,2MSC_MC,SD,Skewed=30",Steel,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.97663555,0.6,1.126887173,0.6,1.481051713,0.6
"Mander (1999),St,2MSC_MC,NSD_nonCalifonia,Skewed=30",Steel,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.724725525,0.6,0.724725525,0.6,0.724725525,0.6,0.991729666,0.6
"Mander (1999),St,2MSC_MC,NSD_Califonia,Skewed=30",Steel,PGA,Two,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.815651668,0.6,0.815651668,0.6,1.116154914,0.6
"Mander (1999),C,3MSSS_MC,SD,Skewed=30",Concrete,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.750162187,0.6,1.036408285,0.6,1.51019493,0.6
"Mander (1999),St,3MSSS_MC,SD,Skewed=30",Steel,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.750162187,0.6,1.036408285,0.6,1.51019493,0.6
"Mander (1999),PC,3MSSS_MC,SD,Skewed=30",Prestressed Concrete,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.750162187,0.6,1.036408285,0.6,1.51019493,0.6
"Mander (1999),C,3MSSS_MC,NSD_nonCalifornia,Skewed=30",Concrete,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.345469428,0.6,0.434304424,0.6,0.641586081,0.6
"Mander (1999),St,3MSSS_MC,NSD_nonCalifornia,Skewed=30",Steel,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.332959573,0.6,0.418577748,0.6,0.618353492,0.6
"Mander (1999),PC,3MSSS_MC,NSD_nonCalifornia,Skewed=30",Prestressed Concrete,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.345469428,0.6,0.434304424,0.6,0.641586081,0.6
"Mander (1999),C,3MSSS_MC,NSD_California,Skewed=30",Concrete,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.454045534,0.6,0.552751085,0.6,0.819256073,0.6
"Mander (1999),St,3MSSS_MC,NSD_California,Skewed=30",Steel,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.454045534,0.6,0.552751085,0.6,0.819256073,0.6
"Mander (1999),PC,3MSSS_MC,NSD_California,Skewed=30",Prestressed Concrete,PGA,Three,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.454045534,0.6,0.552751085,0.6,0.819256073,0.6
"Mander (1999),C,3MSSS_SC,SD,Skewed=30",Concrete,PGA,Three,Simply Supported,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.54,0.6,0.868608849,0.6,1.204207722,0.6,1.431230489,0.6
"Mander (1999),PC,3MSSS_SC,SD,Skewed=30",Prestressed Concrete,PGA,Three,Simply Supported,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.54,0.6,0.868608849,0.6,1.204207722,0.6,1.431230489,0.6
